ID Cliente,Cor do Cabelo,Cor dos Olhos,Cor da Pele,Altura (cm),Peso (kg),Tatuagens,Piercings,Tipo Sanguíneo,Tipo de Pele
1043,Preto,Castanho,Indígena,194.36,96.49,1,0,AB+,Seca
1044,Ruivo,Castanho,Parda,155.89,54.04,2,1,AB+,Seca
1045,Castanho,Castanho,Indígena,157.12,91.48,0,0,B-,Oleosa
1046,Castanho,Verde,Branca,184.76,78.57,5,2,O+,Seca
1047,Ruivo,Verde,Amarela,180.5,48.51,4,3,AB+,Seca
1048,Ruivo,Azul,Amarela,167.07,46.0,2,2,B-,Normal
1049,Ruivo,Azul,Branca,177.46,77.18,3,2,O+,Oleosa
1050,Castanho,Azul,Branca,192.45,69.68,3,3,AB+,Oleosa
1051,Ruivo,Verde,Negra,157.36,110.96,2,2,AB+,Normal
1052,Ruivo,Verde,Indígena,179.53,74.07,5,3,AB+,Normal
1053,Castanho,Castanho,Negra,167.94,49.66,0,0,B-,Oleosa
1054,Castanho,Verde,Parda,183.83,79.35,0,2,B+,Mista
1055,Preto,Azul,Branca,171.71,73.83,5,1,O+,Oleosa
1056,Loiro,Azul,Negra,163.3,44.58,5,1,A-,Seca
1057,Castanho,Verde,Amarela,189.18,63.56,4,3,AB+,Seca
1058,Loiro,Preto,Branca,169.12,89.34,3,0,B+,Mista
1059,Preto,Castanho,Parda,168.91,83.46,5,3,B+,Oleosa
1060,Preto,Verde,Indígena,170.35,49.12,0,2,A+,Mista
1061,Ruivo,Preto,Negra,153.64,61.46,2,3,A+,Seca
1062,Preto,Azul,Indígena,191.46,84.2,3,1,O-,Normal
1063,Ruivo,Verde,Amarela,150.75,86.17,2,0,B+,Seca
1064,Ruivo,Castanho,Negra,174.1,58.62,0,2,B+,Seca
1065,Castanho,Preto,Branca,171.3,69.98,4,3,O-,Seca
1066,Castanho,Preto,Parda,183.6,115.2,4,0,O+,Normal
1067,Loiro,Verde,Parda,184.28,106.84,2,3,B-,Normal
1068,Ruivo,Verde,Indígena,157.29,116.43,0,1,AB-,Seca
1069,Ruivo,Preto,Parda,159.51,40.63,2,3,B+,Mista
1070,Loiro,Azul,Branca,176.43,86.76,3,2,O-,Seca
1071,Ruivo,Castanho,Parda,178.58,104.52,2,0,A+,Seca
1072,Preto,Azul,Amarela,199.02,54.97,1,2,O-,Mista
1073,Ruivo,Preto,Indígena,187.52,111.88,4,2,AB-,Oleosa
1074,Ruivo,Azul,Branca,162.6,99.75,4,1,O-,Oleosa
1075,Ruivo,Verde,Indígena,159.6,119.59,4,1,A-,Seca
1076,Castanho,Preto,Amarela,163.35,118.72,5,3,A+,Mista
1077,Preto,Castanho,Branca,177.07,103.58,0,3,B-,Normal
1078,Ruivo,Castanho,Branca,162.03,41.11,1,3,B-,Mista
1079,Preto,Azul,Branca,189.81,119.75,3,3,AB-,Oleosa
1080,Preto,Azul,Negra,165.54,111.24,0,3,B-,Mista
1081,Preto,Castanho,Branca,175.45,54.75,2,3,A+,Mista
1082,Loiro,Preto,Negra,181.3,71.8,2,2,A+,Mista
1083,Ruivo,Azul,Parda,152.03,79.64,5,2,A+,Mista
1084,Castanho,Preto,Indígena,151.47,46.19,1,2,A+,Seca
1085,Castanho,Castanho,Branca,197.96,73.78,2,2,A+,Mista
1086,Castanho,Preto,Negra,173.92,42.02,2,2,O+,Oleosa
1087,Castanho,Castanho,Branca,161.19,45.72,0,3,B-,Mista
1088,Ruivo,Preto,Negra,150.33,77.16,5,2,B+,Normal
1089,Castanho,Verde,Parda,192.61,110.96,5,0,AB-,Seca
1090,Preto,Preto,Amarela,171.71,41.55,4,1,O+,Oleosa
1091,Loiro,Castanho,Branca,169.53,57.28,0,2,O-,Seca
1092,Castanho,Preto,Negra,194.26,119.82,4,0,O-,Oleosa
1093,Preto,Verde,Parda,153.13,72.0,1,0,AB-,Seca
1094,Castanho,Azul,Negra,152.76,55.52,3,1,AB+,Normal
1095,Ruivo,Preto,Negra,191.69,110.97,0,1,O+,Normal
1096,Preto,Castanho,Parda,188.16,43.15,5,3,AB-,Mista
1097,Ruivo,Verde,Branca,175.19,67.39,0,0,O+,Normal
1098,Castanho,Azul,Amarela,153.75,40.86,0,2,A-,Mista
1099,Preto,Preto,Parda,183.42,42.63,5,3,O-,Oleosa
1100,Preto,Azul,Negra,190.72,86.66,1,1,B+,Mista
1101,Preto,Preto,Parda,166.74,56.69,2,3,AB+,Seca
1102,Castanho,Preto,Negra,198.47,73.06,3,2,O-,Mista
1103,Loiro,Azul,Indígena,192.72,76.71,2,0,A+,Mista
1104,Loiro,Azul,Parda,152.4,60.3,4,1,B-,Mista
1105,Ruivo,Verde,Amarela,153.31,62.37,2,2,AB+,Mista
1106,Loiro,Preto,Negra,176.39,86.21,1,3,AB+,Mista
1107,Castanho,Preto,Negra,180.6,108.22,5,1,O+,Mista
1108,Preto,Azul,Parda,163.96,109.04,4,0,B-,Normal
1109,Preto,Verde,Negra,164.65,75.25,4,0,B-,Normal
1110,Castanho,Azul,Negra,180.33,85.06,1,1,B+,Normal
1111,Preto,Castanho,Parda,192.89,102.6,0,2,AB+,Oleosa
1112,Loiro,Verde,Parda,166.07,74.66,5,2,O+,Seca
1113,Ruivo,Castanho,Amarela,172.66,59.33,1,2,AB-,Oleosa
1114,Castanho,Verde,Parda,188.68,84.42,1,3,O+,Mista
1115,Preto,Preto,Branca,193.14,83.19,3,1,AB+,Seca
1116,Castanho,Azul,Amarela,176.09,116.63,3,3,A-,Oleosa
1117,Loiro,Verde,Parda,193.59,42.6,5,2,AB-,Seca
1118,Preto,Preto,Indígena,197.47,71.82,3,3,AB+,Oleosa
1119,Preto,Preto,Parda,182.1,114.37,3,0,O+,Normal
1120,Preto,Castanho,Parda,181.35,60.81,4,0,B-,Mista
1121,Preto,Castanho,Indígena,152.51,52.5,5,2,AB-,Mista
1122,Castanho,Preto,Amarela,168.42,67.98,3,3,A-,Mista
1123,Loiro,Castanho,Negra,181.88,98.28,4,3,O-,Normal
1124,Loiro,Preto,Branca,163.51,105.41,1,1,AB-,Seca
1125,Ruivo,Preto,Indígena,194.79,84.0,1,1,O-,Mista
1126,Castanho,Preto,Amarela,172.03,48.7,4,1,B-,Mista
1127,Loiro,Castanho,Negra,179.94,88.29,2,0,AB-,Seca
1128,Castanho,Verde,Indígena,169.54,99.05,1,3,A-,Normal
1129,Castanho,Preto,Indígena,152.91,57.99,1,0,AB-,Normal
1130,Loiro,Azul,Negra,197.15,76.96,4,3,A-,Seca
1131,Ruivo,Azul,Amarela,194.27,52.64,3,2,O-,Mista
1132,Ruivo,Castanho,Parda,186.3,100.65,0,2,O+,Oleosa
1133,Ruivo,Preto,Parda,188.15,54.41,4,0,O+,Mista
1134,Preto,Preto,Negra,170.58,108.89,2,2,AB-,Mista
1135,Loiro,Verde,Parda,156.5,52.81,0,1,AB-,Normal
1136,Preto,Verde,Indígena,156.86,85.81,0,0,O+,Seca
1137,Preto,Azul,Indígena,150.97,105.78,5,3,AB-,Seca
1138,Preto,Azul,Parda,189.93,57.78,4,0,O+,Mista
1139,Castanho,Azul,Branca,187.29,92.18,1,1,A+,Mista
1140,Castanho,Azul,Indígena,174.6,63.88,4,1,A+,Mista
1141,Loiro,Preto,Negra,181.27,101.79,5,3,B-,Normal
1142,Loiro,Azul,Parda,173.71,105.37,0,2,B-,Seca
1143,Castanho,Verde,Negra,169.22,44.76,4,1,O-,Normal
1144,Castanho,Preto,Amarela,152.38,106.44,1,1,AB-,Seca
1145,Preto,Castanho,Parda,158.05,97.48,2,0,B+,Mista
1146,Ruivo,Verde,Branca,184.96,76.2,1,1,B+,Mista
1147,Ruivo,Castanho,Branca,180.09,91.67,2,3,O+,Normal
1148,Ruivo,Azul,Indígena,188.46,105.93,5,1,AB+,Oleosa
1149,Ruivo,Azul,Negra,163.18,76.29,5,3,AB+,Seca
1150,Ruivo,Preto,Amarela,169.86,53.3,1,0,B+,Normal
1151,Preto,Preto,Negra,176.2,91.56,2,3,A-,Normal
1152,Loiro,Verde,Amarela,176.68,68.47,0,1,A+,Seca
1153,Castanho,Castanho,Indígena,153.36,56.43,3,2,B+,Seca
1154,Preto,Preto,Parda,159.76,79.14,3,2,B+,Seca
1155,Ruivo,Preto,Parda,160.13,89.87,5,3,B+,Seca
1156,Castanho,Castanho,Indígena,161.61,90.13,1,2,AB-,Seca
1157,Preto,Castanho,Amarela,196.86,69.89,4,3,A-,Normal
1158,Ruivo,Azul,Indígena,197.71,76.21,5,1,AB+,Seca
1159,Preto,Azul,Branca,165.71,40.05,1,0,AB-,Mista
1160,Castanho,Preto,Parda,185.75,108.73,2,0,AB-,Seca
1161,Loiro,Azul,Branca,158.56,74.79,3,1,O-,Oleosa
1162,Ruivo,Preto,Parda,167.24,105.29,1,0,AB-,Seca
1163,Castanho,Preto,Branca,198.05,73.5,1,1,B-,Mista
1164,Castanho,Castanho,Negra,155.44,79.61,2,0,O-,Oleosa
1165,Loiro,Preto,Amarela,177.23,69.07,5,3,B+,Mista
1166,Preto,Preto,Amarela,153.96,73.02,4,1,B-,Seca
1167,Loiro,Preto,Parda,150.53,109.68,4,3,O-,Seca
1168,Loiro,Azul,Parda,192.48,53.57,4,0,O+,Seca
1169,Preto,Azul,Branca,194.96,83.65,1,3,O+,Seca
1170,Preto,Verde,Negra,158.21,93.21,1,3,A+,Seca
1171,Preto,Castanho,Parda,155.08,113.79,2,0,AB+,Seca
1172,Castanho,Verde,Parda,180.15,85.2,1,2,A-,Mista
1173,Castanho,Preto,Negra,150.02,107.39,3,2,AB+,Mista
1174,Ruivo,Preto,Amarela,155.63,53.74,2,2,B+,Mista
1175,Ruivo,Verde,Indígena,187.52,43.72,0,2,O+,Oleosa
1176,Loiro,Castanho,Negra,161.9,54.89,5,3,AB+,Oleosa
1177,Loiro,Preto,Branca,175.66,46.22,4,3,B-,Seca
1178,Ruivo,Preto,Amarela,183.48,69.71,3,1,A+,Seca
1179,Loiro,Azul,Indígena,156.62,106.02,3,2,B+,Oleosa
1180,Preto,Preto,Amarela,174.79,63.94,4,3,O-,Normal
1181,Castanho,Preto,Indígena,178.67,105.11,2,2,A+,Seca
1182,Ruivo,Preto,Indígena,167.25,89.58,5,2,A-,Normal
1183,Castanho,Verde,Amarela,156.06,62.36,0,0,B-,Seca
1184,Ruivo,Azul,Amarela,160.91,83.38,4,0,O-,Oleosa
1185,Castanho,Preto,Amarela,153.72,113.11,3,1,B+,Normal
1186,Ruivo,Castanho,Negra,183.39,86.78,2,1,B+,Mista
1187,Castanho,Preto,Parda,164.84,53.87,2,2,B+,Oleosa
1188,Preto,Preto,Parda,163.23,52.55,1,1,A-,Mista
1189,Ruivo,Castanho,Indígena,152.46,116.57,2,0,A+,Mista
1190,Ruivo,Castanho,Parda,198.06,59.78,1,1,B-,Oleosa
1191,Ruivo,Castanho,Amarela,193.23,53.87,5,3,AB-,Oleosa
1192,Preto,Azul,Amarela,166.15,116.59,4,3,B+,Mista
1193,Castanho,Azul,Parda,157.04,59.57,1,0,AB+,Mista
1194,Ruivo,Azul,Branca,169.78,45.38,3,2,B-,Seca
1195,Castanho,Verde,Negra,175.51,52.32,4,2,B+,Mista
1196,Preto,Castanho,Indígena,198.65,69.94,1,3,B+,Normal
1197,Loiro,Castanho,Branca,154.73,92.16,4,2,AB-,Seca
1198,Ruivo,Azul,Amarela,163.77,66.51,2,1,A+,Oleosa
1199,Preto,Castanho,Amarela,199.75,108.28,2,1,A-,Mista
1200,Castanho,Preto,Parda,161.83,44.75,0,2,AB+,Mista
1201,Ruivo,Azul,Indígena,160.24,89.46,3,3,O+,Normal
1202,Castanho,Preto,Amarela,162.51,98.35,2,0,B+,Oleosa
1203,Loiro,Castanho,Indígena,155.08,119.14,1,2,AB+,Mista
1204,Ruivo,Castanho,Branca,173.52,62.69,2,1,A+,Mista
1205,Ruivo,Preto,Negra,155.41,103.7,0,0,O-,Normal
1206,Castanho,Castanho,Indígena,157.09,94.64,4,1,O+,Oleosa
1207,Ruivo,Azul,Negra,173.16,42.67,2,0,AB-,Mista
1208,Preto,Verde,Parda,189.55,108.43,1,1,B-,Mista
1209,Preto,Verde,Indígena,183.36,86.47,4,1,A+,Seca
1210,Loiro,Verde,Indígena,158.52,105.05,5,3,O-,Seca
1211,Preto,Castanho,Negra,159.33,104.68,4,0,B-,Oleosa
1212,Loiro,Azul,Indígena,150.7,62.79,4,1,AB+,Seca
1213,Castanho,Azul,Negra,158.07,102.67,2,1,O-,Oleosa
1214,Castanho,Castanho,Negra,154.61,89.9,4,1,O+,Seca
1215,Loiro,Azul,Parda,174.58,100.4,2,0,O-,Normal
1216,Preto,Castanho,Branca,191.03,59.65,3,1,A+,Normal
1217,Preto,Verde,Branca,176.81,110.01,5,3,A+,Mista
1218,Loiro,Azul,Parda,159.12,63.56,0,3,O-,Mista
1219,Loiro,Castanho,Negra,181.41,59.7,1,3,B+,Normal
1220,Castanho,Azul,Parda,163.05,113.53,4,2,AB+,Mista
1221,Loiro,Preto,Amarela,196.53,87.37,3,1,AB+,Seca
1222,Preto,Preto,Amarela,170.99,50.58,4,3,O+,Oleosa
1223,Loiro,Preto,Negra,178.63,104.95,3,3,O+,Mista
1224,Loiro,Castanho,Amarela,167.01,42.13,2,3,O+,Mista
1225,Loiro,Azul,Branca,191.49,85.15,2,1,O+,Mista
1226,Castanho,Preto,Negra,189.22,99.23,1,3,AB+,Seca
1227,Loiro,Azul,Negra,184.34,119.99,2,2,B-,Oleosa
1228,Ruivo,Castanho,Negra,171.9,58.44,4,1,O+,Seca
1229,Ruivo,Preto,Parda,187.89,50.11,0,3,A+,Mista
1230,Ruivo,Preto,Parda,193.33,117.27,3,1,AB+,Normal
1231,Preto,Castanho,Branca,161.58,61.56,3,3,B-,Mista
1232,Preto,Azul,Negra,191.13,61.62,2,3,O+,Seca
1233,Loiro,Preto,Negra,162.15,52.94,0,0,B+,Normal
1234,Ruivo,Azul,Negra,155.75,86.38,2,1,AB-,Normal
1235,Castanho,Verde,Amarela,175.77,75.55,3,1,A+,Mista
1236,Ruivo,Castanho,Branca,177.18,66.67,0,0,AB-,Oleosa
1237,Ruivo,Preto,Negra,199.8,87.88,4,3,AB-,Mista
1238,Preto,Castanho,Negra,170.42,65.04,4,3,B+,Seca
1239,Preto,Verde,Indígena,166.92,109.97,1,1,AB-,Normal
1240,Castanho,Castanho,Parda,178.62,88.09,0,2,O+,Mista
1241,Preto,Castanho,Branca,172.48,50.71,0,3,B+,Oleosa
1242,Castanho,Preto,Amarela,186.94,44.52,4,0,O-,Seca
1243,Preto,Verde,Negra,174.64,51.41,4,0,B+,Oleosa
1244,Ruivo,Preto,Parda,185.14,117.36,2,3,O+,Seca
1245,Ruivo,Azul,Branca,177.23,72.12,2,1,O+,Normal
1246,Castanho,Verde,Amarela,181.83,46.02,1,1,B+,Normal
1247,Castanho,Castanho,Indígena,170.14,76.78,4,1,B-,Mista
1248,Preto,Castanho,Amarela,196.36,87.04,4,2,B+,Normal
1249,Preto,Azul,Negra,155.95,62.23,3,2,AB-,Seca
1250,Castanho,Castanho,Amarela,173.92,45.25,1,2,O-,Mista
1251,Castanho,Preto,Amarela,153.05,41.19,2,3,B+,Mista
1252,Ruivo,Verde,Amarela,193.05,54.58,2,1,O-,Normal
1253,Ruivo,Azul,Negra,174.82,101.99,5,2,B-,Mista
1254,Castanho,Azul,Branca,195.02,61.46,5,3,AB+,Oleosa
1255,Ruivo,Castanho,Amarela,175.91,47.43,4,1,O+,Oleosa
1256,Loiro,Castanho,Negra,190.38,56.25,5,1,B+,Normal
1257,Preto,Azul,Parda,193.01,75.85,3,1,O-,Mista
1258,Ruivo,Preto,Negra,150.77,89.77,5,3,A+,Normal
1259,Loiro,Preto,Amarela,188.23,103.75,3,3,AB+,Normal
1260,Castanho,Verde,Parda,168.81,86.88,4,0,O-,Normal
1261,Ruivo,Castanho,Parda,157.18,54.46,3,0,B+,Oleosa
1262,Castanho,Azul,Amarela,182.95,75.71,3,2,B-,Oleosa
1263,Preto,Castanho,Indígena,158.55,96.24,3,2,B-,Seca
1264,Castanho,Castanho,Amarela,161.2,47.99,4,1,AB+,Normal
1265,Loiro,Preto,Indígena,167.47,69.79,4,2,AB+,Oleosa
1266,Castanho,Castanho,Branca,183.69,97.8,4,2,O+,Oleosa
1267,Loiro,Verde,Parda,154.31,50.25,4,3,O+,Mista
1268,Ruivo,Preto,Amarela,169.67,73.88,2,1,O+,Seca
1269,Ruivo,Preto,Indígena,193.67,116.06,3,0,A-,Oleosa
1270,Loiro,Castanho,Branca,168.3,77.88,0,1,A+,Oleosa
1271,Preto,Preto,Negra,188.86,52.09,3,3,AB-,Mista
1272,Preto,Verde,Indígena,176.95,108.24,5,1,A-,Oleosa
1273,Preto,Azul,Negra,172.36,90.36,0,1,AB+,Seca
1274,Ruivo,Verde,Negra,155.25,71.89,3,1,O+,Seca
1275,Ruivo,Preto,Parda,163.25,70.65,5,2,A-,Normal
1276,Preto,Verde,Parda,178.47,111.78,5,3,A+,Normal
1277,Castanho,Preto,Parda,186.62,51.35,0,0,O+,Normal
1278,Preto,Castanho,Indígena,176.14,42.03,3,2,O+,Mista
1279,Castanho,Preto,Branca,188.5,89.66,4,1,B+,Seca
1280,Preto,Azul,Indígena,158.71,49.64,0,2,O+,Normal
1281,Castanho,Verde,Indígena,199.09,104.69,0,0,O-,Normal
1282,Ruivo,Castanho,Amarela,156.94,58.29,2,1,B+,Oleosa
1283,Preto,Preto,Branca,178.39,40.36,4,2,AB+,Seca
1284,Preto,Verde,Negra,198.45,87.45,3,2,AB+,Mista
1285,Loiro,Verde,Negra,187.75,92.79,0,2,AB+,Seca
1286,Preto,Verde,Amarela,197.74,110.35,0,2,A+,Normal
1287,Castanho,Castanho,Negra,177.88,112.19,0,3,B-,Oleosa
1288,Loiro,Preto,Branca,176.71,65.23,1,1,AB-,Normal
1289,Preto,Preto,Negra,184.09,50.99,4,3,A-,Normal
1290,Preto,Castanho,Parda,161.76,44.89,2,3,O+,Oleosa
1291,Ruivo,Azul,Amarela,181.17,53.3,5,0,AB-,Mista
1292,Loiro,Verde,Branca,177.09,48.47,3,2,O+,Normal
1293,Castanho,Preto,Parda,189.17,68.31,0,0,A-,Seca
1294,Preto,Castanho,Amarela,193.4,58.42,2,0,B-,Mista
1295,Ruivo,Castanho,Negra,197.65,66.55,3,3,AB+,Seca
1296,Preto,Verde,Amarela,156.34,40.79,3,3,AB+,Seca
1297,Loiro,Castanho,Negra,195.93,47.53,2,0,A+,Normal
1298,Castanho,Verde,Parda,192.54,56.79,3,2,B-,Normal
1299,Ruivo,Preto,Parda,189.92,101.75,3,3,B-,Oleosa
1300,Preto,Verde,Amarela,197.57,48.03,5,2,A-,Normal
1301,Castanho,Azul,Amarela,184.59,91.19,2,3,B-,Oleosa
1302,Preto,Verde,Branca,161.49,63.96,0,3,A+,Oleosa
1303,Preto,Verde,Parda,192.09,93.3,5,1,A-,Normal
1304,Loiro,Azul,Amarela,171.66,43.95,2,3,O+,Seca
1305,Loiro,Verde,Negra,185.96,108.11,0,2,B-,Mista
1306,Preto,Castanho,Negra,185.84,78.81,4,3,AB+,Mista
1307,Ruivo,Preto,Amarela,162.54,87.3,5,0,O-,Mista
1308,Loiro,Preto,Indígena,198.45,91.02,4,2,O+,Seca
1309,Loiro,Preto,Branca,182.42,60.87,3,2,A-,Oleosa
1310,Loiro,Preto,Amarela,164.91,88.44,0,2,B+,Oleosa
1311,Loiro,Azul,Branca,180.28,50.15,5,3,B-,Seca
1312,Castanho,Verde,Parda,192.31,95.39,0,3,O-,Oleosa
1313,Preto,Verde,Branca,180.49,60.11,3,1,O-,Oleosa
1314,Castanho,Castanho,Amarela,177.68,50.5,3,1,B-,Mista
1315,Castanho,Verde,Branca,153.3,117.66,5,1,A+,Seca
1316,Preto,Azul,Negra,154.2,80.14,2,1,A-,Seca
1317,Loiro,Castanho,Parda,167.34,58.9,2,0,B+,Oleosa
1318,Ruivo,Castanho,Negra,181.3,105.49,4,1,B+,Seca
1319,Loiro,Verde,Indígena,175.38,90.26,5,2,A+,Mista
1320,Loiro,Azul,Indígena,198.12,94.03,5,2,A-,Oleosa
1321,Loiro,Preto,Amarela,187.56,96.03,1,2,O+,Mista
1322,Loiro,Azul,Amarela,151.79,83.18,1,3,B-,Mista
1323,Ruivo,Azul,Branca,182.74,48.76,2,3,A-,Oleosa
1324,Castanho,Azul,Amarela,154.58,54.43,5,0,AB-,Seca
1325,Ruivo,Castanho,Amarela,196.18,114.21,1,0,B+,Seca
1326,Preto,Castanho,Amarela,161.76,40.59,2,3,A+,Normal
1327,Loiro,Azul,Branca,177.2,101.73,4,1,A+,Oleosa
1328,Ruivo,Preto,Parda,172.38,78.65,5,1,B+,Normal
1329,Preto,Castanho,Amarela,173.88,43.32,3,2,B-,Oleosa
1330,Ruivo,Azul,Parda,176.96,79.42,4,2,A-,Mista
1331,Loiro,Preto,Branca,198.61,70.58,4,2,AB-,Mista
1332,Loiro,Verde,Indígena,159.34,85.97,2,1,B+,Oleosa
1333,Preto,Verde,Amarela,196.7,116.93,0,3,B-,Normal
1334,Ruivo,Azul,Indígena,172.6,110.45,2,2,A-,Mista
1335,Loiro,Azul,Parda,169.02,100.6,2,0,B-,Oleosa
1336,Preto,Castanho,Amarela,153.9,87.11,0,3,B-,Normal
1337,Ruivo,Preto,Parda,180.7,118.89,5,3,O+,Mista
1338,Ruivo,Azul,Indígena,185.97,74.4,2,0,B-,Oleosa
1339,Preto,Verde,Parda,183.18,47.62,3,2,A-,Seca
1340,Ruivo,Azul,Branca,173.07,109.81,3,1,AB+,Normal
1341,Ruivo,Castanho,Negra,180.52,115.42,5,0,A+,Seca
1342,Loiro,Castanho,Amarela,174.62,53.27,4,0,B+,Seca
1343,Loiro,Preto,Indígena,177.1,77.38,1,1,A-,Oleosa
1344,Loiro,Verde,Amarela,192.85,83.43,3,0,B+,Oleosa
1345,Preto,Preto,Branca,178.73,63.19,2,1,O-,Mista
1346,Castanho,Verde,Negra,171.82,74.66,2,1,A+,Mista
1347,Ruivo,Verde,Branca,174.86,44.59,0,0,B+,Oleosa
1348,Preto,Azul,Parda,192.28,81.58,1,0,B-,Seca
1349,Castanho,Verde,Indígena,191.85,90.92,5,1,A-,Seca
1350,Castanho,Verde,Parda,156.47,102.85,5,3,O+,Oleosa
1351,Preto,Castanho,Negra,175.81,68.74,2,0,O-,Mista
1352,Castanho,Preto,Indígena,159.81,82.18,1,3,B+,Oleosa
1353,Loiro,Preto,Indígena,199.71,55.37,4,1,A+,Mista
1354,Preto,Castanho,Amarela,151.91,99.11,3,1,A-,Mista
1355,Ruivo,Azul,Amarela,182.17,53.74,0,1,B+,Mista
1356,Loiro,Preto,Branca,165.91,101.99,3,2,AB-,Oleosa
1357,Ruivo,Castanho,Amarela,176.22,95.96,5,3,A+,Seca
1358,Castanho,Azul,Parda,169.93,96.85,4,0,B-,Normal
1359,Loiro,Castanho,Branca,159.31,78.23,4,2,A-,Oleosa
1360,Ruivo,Preto,Branca,181.26,72.36,1,0,O-,Mista
1361,Preto,Preto,Amarela,161.87,53.75,2,0,O-,Mista
1362,Castanho,Verde,Amarela,152.59,99.17,3,0,AB-,Oleosa
1363,Ruivo,Castanho,Parda,163.47,61.29,0,0,O+,Mista
1364,Castanho,Verde,Branca,151.49,78.58,2,2,A+,Mista
1365,Ruivo,Castanho,Indígena,194.74,92.68,0,1,A+,Seca
1366,Preto,Preto,Parda,168.02,102.31,1,1,A+,Mista
1367,Loiro,Castanho,Parda,199.72,68.99,2,3,A-,Mista
1368,Ruivo,Castanho,Amarela,169.05,113.92,0,2,A-,Normal
1369,Castanho,Azul,Parda,180.98,108.98,5,1,O-,Normal
1370,Preto,Azul,Parda,184.28,91.01,1,2,O+,Seca
1371,Loiro,Azul,Branca,178.46,65.51,4,3,AB-,Normal
1372,Castanho,Verde,Indígena,151.53,69.86,2,3,B-,Mista
1373,Preto,Castanho,Parda,156.24,102.86,5,0,B+,Mista
1374,Castanho,Preto,Negra,163.98,71.34,3,1,AB+,Oleosa
1375,Preto,Castanho,Parda,177.09,84.44,3,3,AB+,Mista
1376,Loiro,Castanho,Parda,188.92,53.81,5,3,B-,Mista
1377,Loiro,Azul,Amarela,167.13,109.57,1,1,AB+,Seca
1378,Castanho,Verde,Branca,168.73,40.69,3,3,B-,Oleosa
1379,Preto,Preto,Amarela,162.56,48.5,2,0,O-,Seca
1380,Ruivo,Preto,Parda,196.71,54.67,4,2,A-,Normal
1381,Loiro,Azul,Parda,169.66,98.35,0,3,AB-,Seca
1382,Ruivo,Preto,Branca,179.68,93.1,5,2,A-,Mista
1383,Ruivo,Castanho,Indígena,159.81,90.85,3,3,AB-,Oleosa
1384,Castanho,Castanho,Branca,167.65,53.44,1,2,AB+,Normal
1385,Castanho,Azul,Parda,190.76,110.63,4,3,O-,Normal
1386,Castanho,Verde,Branca,164.71,63.99,5,2,AB+,Oleosa
1387,Preto,Castanho,Indígena,181.92,53.77,2,2,O+,Normal
1388,Loiro,Verde,Amarela,181.7,72.9,4,3,A-,Seca
1389,Loiro,Verde,Negra,156.65,87.12,1,2,A-,Normal
1390,Ruivo,Preto,Negra,176.64,60.16,5,2,O-,Seca
1391,Castanho,Castanho,Branca,178.8,54.42,3,2,A+,Normal
1392,Preto,Preto,Indígena,163.46,41.02,4,2,O-,Normal
1393,Loiro,Azul,Branca,169.57,108.09,0,0,A+,Mista
1394,Preto,Castanho,Negra,193.32,53.56,5,2,B+,Normal
1395,Castanho,Azul,Negra,193.31,53.0,3,2,O-,Normal
1396,Castanho,Preto,Amarela,159.73,113.76,1,1,B+,Oleosa
1397,Loiro,Preto,Amarela,198.02,46.98,2,3,B+,Seca
1398,Ruivo,Preto,Parda,196.19,85.58,4,1,A+,Oleosa
1399,Ruivo,Castanho,Parda,196.73,54.0,2,0,AB+,Oleosa
1400,Castanho,Preto,Amarela,167.01,40.92,1,3,A+,Mista
1401,Castanho,Azul,Indígena,158.22,41.08,0,0,A+,Normal
1402,Ruivo,Verde,Negra,153.98,96.17,5,2,B-,Oleosa
1403,Castanho,Castanho,Indígena,184.03,73.4,0,2,A+,Mista
1404,Loiro,Azul,Indígena,166.39,53.62,0,2,B-,Seca
1405,Loiro,Castanho,Amarela,176.65,95.49,0,0,AB+,Mista
1406,Preto,Preto,Branca,166.89,43.18,1,1,A-,Normal
1407,Ruivo,Castanho,Branca,199.47,72.79,3,2,B+,Seca
1408,Castanho,Preto,Parda,174.17,40.02,4,1,B-,Mista
1409,Preto,Azul,Parda,195.7,113.48,4,2,B+,Oleosa
1410,Loiro,Azul,Branca,167.17,111.35,3,1,A-,Seca
1411,Ruivo,Verde,Negra,158.38,106.24,4,2,O+,Seca
1412,Loiro,Preto,Indígena,178.77,44.21,2,1,A+,Normal
1413,Castanho,Verde,Branca,170.18,86.46,0,0,A+,Normal
1414,Preto,Azul,Amarela,179.46,74.42,4,3,AB-,Oleosa
1415,Castanho,Preto,Indígena,193.42,54.81,5,1,B-,Seca
1416,Castanho,Verde,Branca,161.11,78.18,1,0,B+,Oleosa
1417,Ruivo,Castanho,Parda,176.49,62.8,0,3,AB+,Normal
1418,Ruivo,Castanho,Parda,189.08,43.15,2,2,A-,Normal
1419,Castanho,Azul,Amarela,168.5,97.37,5,0,B-,Normal
1420,Ruivo,Azul,Amarela,161.18,89.16,4,0,B+,Normal
1421,Preto,Verde,Branca,199.57,43.99,2,1,AB-,Seca
1422,Preto,Verde,Negra,175.22,100.82,1,0,B+,Seca
1423,Castanho,Verde,Parda,178.0,85.99,5,2,O-,Seca
1424,Preto,Preto,Branca,169.56,59.65,3,2,O+,Mista
1425,Castanho,Castanho,Amarela,168.29,101.04,3,3,B+,Mista
